iso_alpha_2,iso_alpha_3,country_name,date,school_closing,workplace_closing,cancel_events,gatherings_restrictions,transport_closing,stay_home_restrictions,internal_movement_restrictions,international_movement_restrictions,stringency_index,government_response_index,containment_health_index
FR,FRA,France,2021-06-11,1.0,2.0,1.0,4.0,0.0,2.0,0.0,3.0,54.63,62.24,63.99
FR,FRA,France,2021-06-12,1.0,2.0,1.0,4.0,0.0,2.0,0.0,3.0,54.63,62.24,63.99
FR,FRA,France,2021-06-13,1.0,2.0,1.0,4.0,0.0,2.0,0.0,3.0,54.63,62.24,63.99
FR,FRA,France,2021-06-14,1.0,2.0,1.0,4.0,0.0,2.0,0.0,3.0,54.63,62.24,63.99
FR,FRA,France,2021-06-15,1.0,2.0,1.0,4.0,0.0,2.0,0.0,3.0,54.63,62.24,63.99
FR,FRA,France,2021-06-16,1.0,2.0,1.0,4.0,0.0,2.0,0.0,3.0,54.63,62.24,63.99
FR,FRA,France,2021-06-17,1.0,2.0,1.0,4.0,0.0,2.0,0.0,3.0,54.63,59.11,60.42
FR,FRA,France,2021-06-18,1.0,2.0,1.0,4.0,0.0,2.0,0.0,3.0,54.63,59.11,60.42
FR,FRA,France,2021-06-19,1.0,2.0,1.0,4.0,0.0,2.0,0.0,3.0,54.63,59.11,60.42
FR,FRA,France,2021-06-20,1.0,2.0,1.0,4.0,0.0,0.0,0.0,3.0,47.22,54.95,55.65
FR,FRA,France,2021-06-21,1.0,2.0,1.0,4.0,0.0,0.0,0.0,3.0,47.22,54.95,55.65
FR,FRA,France,2021-06-22,1.0,2.0,1.0,4.0,0.0,0.0,0.0,3.0,47.22,54.95,55.65
FR,FRA,France,2021-06-23,1.0,2.0,1.0,4.0,0.0,0.0,0.0,3.0,47.22,54.95,55.65
FR,FRA,France,2021-06-24,1.0,2.0,1.0,4.0,0.0,0.0,0.0,3.0,47.22,54.95,55.65
FR,FRA,France,2021-06-25,1.0,2.0,1.0,4.0,0.0,0.0,0.0,3.0,47.22,54.95,55.65
FR,FRA,France,2021-06-26,1.0,2.0,1.0,4.0,0.0,0.0,0.0,3.0,47.22,54.95,55.65
FR,FRA,France,2021-06-27,1.0,2.0,1.0,4.0,0.0,0.0,0.0,3.0,47.22,54.95,55.65
FR,FRA,France,2021-06-28,1.0,2.0,1.0,4.0,0.0,0.0,0.0,3.0,47.22,54.95,55.65
FR,FRA,France,2021-06-29,1.0,2.0,1.0,4.0,0.0,0.0,0.0,3.0,47.22,54.95,55.65
FR,FRA,France,2021-06-30,1.0,2.0,-2.0,-3.0,0.0,0.0,0.0,3.0,45.83,54.17,54.76
FR,FRA,France,2021-07-01,1.0,2.0,-2.0,-3.0,0.0,0.0,0.0,3.0,45.83,54.17,54.76
FR,FRA,France,2021-07-02,1.0,2.0,-2.0,-3.0,0.0,0.0,0.0,3.0,45.83,54.17,54.76
FR,FRA,France,2021-07-03,1.0,2.0,-2.0,-3.0,0.0,0.0,0.0,3.0,45.83,54.17,54.76
FR,FRA,France,2021-07-04,1.0,2.0,-2.0,-3.0,0.0,0.0,0.0,3.0,45.83,54.17,54.76
FR,FRA,France,2021-07-05,1.0,2.0,-2.0,-3.0,0.0,0.0,0.0,3.0,45.83,54.17,54.76
FR,FRA,France,2021-07-06,1.0,2.0,-2.0,-3.0,0.0,0.0,0.0,3.0,45.83,54.17,54.76
FR,FRA,France,2021-07-07,1.0,2.0,-2.0,-3.0,0.0,0.0,0.0,3.0,45.83,54.17,54.76
FR,FRA,France,2021-07-08,1.0,2.0,-2.0,-3.0,0.0,0.0,0.0,3.0,45.83,54.17,54.76
FR,FRA,France,2021-07-09,1.0,-2.0,-2.0,-3.0,0.0,0.0,0.0,3.0,43.98,53.12,53.57
FR,FRA,France,2021-07-10,1.0,-2.0,-2.0,-3.0,0.0,0.0,0.0,3.0,43.98,53.12,53.57
FR,FRA,France,2021-07-11,1.0,-2.0,-2.0,-3.0,0.0,0.0,0.0,3.0,43.98,53.12,53.57
FR,FRA,France,2021-07-12,1.0,-2.0,-2.0,-3.0,0.0,0.0,0.0,3.0,43.98,54.69,55.36
FR,FRA,France,2021-07-13,1.0,-2.0,-2.0,-3.0,0.0,0.0,0.0,3.0,43.98,54.69,55.36
FR,FRA,France,2021-07-14,1.0,-2.0,-2.0,-3.0,0.0,0.0,0.0,3.0,43.98,54.69,55.36
FR,FRA,France,2021-07-15,1.0,-2.0,-2.0,-3.0,0.0,0.0,0.0,3.0,43.98,54.69,55.36
FR,FRA,France,2021-07-16,1.0,-2.0,-2.0,-3.0,0.0,0.0,0.0,3.0,43.98,54.69,55.36
FR,FRA,France,2021-07-17,1.0,-2.0,-2.0,-3.0,0.0,0.0,0.0,3.0,43.98,54.69,55.36
FR,FRA,France,2021-07-18,1.0,-2.0,-2.0,-3.0,0.0,0.0,0.0,3.0,43.98,54.69,55.36
FR,FRA,France,2021-07-19,1.0,-2.0,-2.0,-3.0,0.0,0.0,0.0,3.0,43.98,54.69,55.36
FR,FRA,France,2021-07-20,1.0,-2.0,-2.0,-3.0,0.0,0.0,0.0,3.0,43.98,54.69,55.36
FR,FRA,France,2021-07-21,1.0,-2.0,-2.0,-3.0,0.0,0.0,0.0,3.0,43.98,54.69,55.36
FR,FRA,France,2021-07-22,1.0,-2.0,-2.0,-3.0,0.0,0.0,0.0,3.0,43.98,54.69,55.36
FR,FRA,France,2021-07-23,1.0,-2.0,-2.0,-3.0,0.0,0.0,0.0,3.0,43.98,54.69,55.36
FR,FRA,France,2021-07-24,1.0,-2.0,-2.0,-3.0,0.0,0.0,0.0,3.0,43.98,54.69,55.36
FR,FRA,France,2021-07-25,1.0,-2.0,-2.0,-3.0,0.0,0.0,0.0,3.0,43.98,54.69,55.36
FR,FRA,France,2021-07-26,1.0,-2.0,-2.0,-3.0,0.0,0.0,0.0,3.0,43.98,56.77,57.74
FR,FRA,France,2021-07-27,1.0,-2.0,-2.0,-3.0,0.0,0.0,0.0,3.0,43.98,56.77,57.74
FR,FRA,France,2021-07-28,1.0,-2.0,-2.0,-3.0,0.0,0.0,0.0,3.0,43.98,56.77,57.74
FR,FRA,France,2021-07-29,1.0,-2.0,-2.0,-3.0,0.0,0.0,0.0,3.0,43.98,56.77,57.74
FR,FRA,France,2021-07-30,1.0,-2.0,-2.0,-3.0,0.0,0.0,0.0,3.0,43.98,56.77,57.74
FR,FRA,France,2021-07-31,1.0,-2.0,-2.0,-3.0,0.0,0.0,0.0,3.0,43.98,56.77,57.74
FR,FRA,France,2021-08-01,1.0,-2.0,-2.0,-3.0,0.0,0.0,0.0,3.0,43.98,56.77,57.74
FR,FRA,France,2021-08-02,1.0,-2.0,-2.0,-3.0,0.0,0.0,0.0,3.0,43.98,56.77,57.74
FR,FRA,France,2021-08-03,1.0,-2.0,-2.0,-3.0,0.0,0.0,0.0,3.0,43.98,56.77,57.74
FR,FRA,France,2021-08-04,1.0,-2.0,-2.0,-3.0,0.0,0.0,0.0,3.0,43.98,56.77,57.74
FR,FRA,France,2021-08-05,1.0,-2.0,-2.0,-3.0,0.0,0.0,0.0,3.0,43.98,56.77,57.74
FR,FRA,France,2021-08-06,1.0,-2.0,-2.0,-3.0,0.0,0.0,0.0,3.0,43.98,56.77,57.74
FR,FRA,France,2021-08-07,1.0,-2.0,-2.0,-3.0,0.0,0.0,0.0,3.0,43.98,56.77,57.74
FR,FRA,France,2021-08-08,1.0,-2.0,-2.0,-3.0,0.0,0.0,0.0,3.0,43.98,56.77,57.74
FR,FRA,France,2021-08-09,1.0,2.0,-2.0,-3.0,2.0,0.0,2.0,3.0,68.06,70.31,73.21
FR,FRA,France,2021-08-10,1.0,2.0,-2.0,-3.0,2.0,0.0,2.0,3.0,68.06,70.31,73.21
FR,FRA,France,2021-08-11,1.0,2.0,-2.0,-3.0,2.0,0.0,2.0,3.0,68.06,70.31,73.21
FR,FRA,France,2021-08-12,1.0,2.0,-2.0,-3.0,2.0,0.0,2.0,3.0,68.06,70.31,73.21
FR,FRA,France,2021-08-13,1.0,2.0,-2.0,-3.0,2.0,0.0,2.0,3.0,68.06,70.31,73.21
FR,FRA,France,2021-08-14,1.0,2.0,-2.0,-3.0,2.0,0.0,2.0,3.0,68.06,70.31,73.21
FR,FRA,France,2021-08-15,1.0,2.0,-2.0,-3.0,2.0,0.0,2.0,3.0,68.06,70.31,73.21
FR,FRA,France,2021-08-16,1.0,2.0,-2.0,-3.0,2.0,0.0,2.0,3.0,68.06,70.31,73.21
FR,FRA,France,2021-08-17,1.0,2.0,-2.0,-3.0,2.0,0.0,2.0,3.0,68.06,70.31,73.21
FR,FRA,France,2021-08-18,1.0,2.0,-2.0,-3.0,2.0,0.0,2.0,3.0,68.06,70.31,73.21
FR,FRA,France,2021-08-19,1.0,2.0,-2.0,-3.0,2.0,0.0,2.0,3.0,68.06,70.31,73.21
FR,FRA,France,2021-08-20,1.0,2.0,-2.0,-3.0,2.0,0.0,2.0,3.0,68.06,70.31,73.21
FR,FRA,France,2021-08-21,1.0,2.0,-2.0,-3.0,2.0,0.0,2.0,3.0,68.06,70.31,73.21
FR,FRA,France,2021-08-22,1.0,2.0,-2.0,-3.0,2.0,0.0,2.0,3.0,68.06,70.31,73.21
FR,FRA,France,2021-08-23,1.0,2.0,-2.0,-3.0,2.0,0.0,2.0,3.0,68.06,70.31,73.21
FR,FRA,France,2021-08-24,1.0,2.0,-2.0,-3.0,2.0,0.0,2.0,3.0,68.06,70.31,73.21
FR,FRA,France,2021-08-25,1.0,2.0,-2.0,-3.0,2.0,0.0,2.0,3.0,68.06,70.31,73.21
FR,FRA,France,2021-08-26,1.0,2.0,-2.0,-3.0,2.0,0.0,2.0,3.0,68.06,70.31,73.21
FR,FRA,France,2021-08-27,1.0,2.0,-2.0,-3.0,2.0,0.0,2.0,3.0,68.06,70.31,73.21
FR,FRA,France,2021-08-28,1.0,2.0,-2.0,-3.0,2.0,0.0,2.0,3.0,68.06,70.31,73.21
FR,FRA,France,2021-08-29,1.0,2.0,-2.0,-3.0,2.0,0.0,2.0,3.0,68.06,70.31,73.21
FR,FRA,France,2021-08-30,1.0,2.0,-2.0,-3.0,2.0,0.0,2.0,3.0,68.06,70.31,73.21
FR,FRA,France,2021-08-31,1.0,2.0,-2.0,-3.0,2.0,0.0,2.0,3.0,68.06,70.31,73.21
FR,FRA,France,2021-09-01,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,69.53,75.89
FR,FRA,France,2021-09-02,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,69.53,75.89
FR,FRA,France,2021-09-03,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,69.53,75.89
FR,FRA,France,2021-09-04,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,69.53,75.89
FR,FRA,France,2021-09-05,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,69.53,75.89
FR,FRA,France,2021-09-06,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,69.53,75.89
FR,FRA,France,2021-09-07,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,69.53,75.89
FR,FRA,France,2021-09-08,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,69.53,75.89
FR,FRA,France,2021-09-09,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,69.53,75.89
FR,FRA,France,2021-09-10,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,69.53,75.89
FR,FRA,France,2021-09-11,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,69.53,75.89
FR,FRA,France,2021-09-12,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,69.53,75.89
FR,FRA,France,2021-09-13,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,70.31,76.79
FR,FRA,France,2021-09-14,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,70.31,76.79
FR,FRA,France,2021-09-15,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,70.31,76.79
FR,FRA,France,2021-09-16,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,70.31,76.79
FR,FRA,France,2021-09-17,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,70.31,76.79
FR,FRA,France,2021-09-18,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,70.31,76.79
FR,FRA,France,2021-09-19,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,70.31,76.79
FR,FRA,France,2021-09-20,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,70.31,76.79
FR,FRA,France,2021-09-21,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,70.31,76.79
FR,FRA,France,2021-09-22,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,70.31,76.79
FR,FRA,France,2021-09-23,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,70.31,76.79
FR,FRA,France,2021-09-24,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,70.31,76.79
FR,FRA,France,2021-09-25,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,70.31,76.79
FR,FRA,France,2021-09-26,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,68.75,75.0
FR,FRA,France,2021-09-27,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,68.75,75.0
FR,FRA,France,2021-09-28,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,68.75,75.0
FR,FRA,France,2021-09-29,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,68.75,75.0
FR,FRA,France,2021-09-30,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,68.75,75.0
FR,FRA,France,2021-10-01,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,68.75,75.0
FR,FRA,France,2021-10-02,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,68.75,75.0
FR,FRA,France,2021-10-03,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,67.97,74.11
FR,FRA,France,2021-10-04,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,67.97,74.11
FR,FRA,France,2021-10-05,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,67.97,74.11
FR,FRA,France,2021-10-06,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,67.97,74.11
FR,FRA,France,2021-10-07,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,67.97,74.11
FR,FRA,France,2021-10-08,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,67.97,74.11
FR,FRA,France,2021-10-09,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,67.97,74.11
FR,FRA,France,2021-10-10,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,67.97,74.11
FR,FRA,France,2021-10-11,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,67.97,74.11
FR,FRA,France,2021-10-12,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,67.97,74.11
FR,FRA,France,2021-10-13,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,67.97,74.11
FR,FRA,France,2021-10-14,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,67.97,74.11
FR,FRA,France,2021-10-15,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,67.97,74.11
FR,FRA,France,2021-10-16,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,67.97,74.11
FR,FRA,France,2021-10-17,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,67.97,74.11
FR,FRA,France,2021-10-18,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,67.97,74.11
FR,FRA,France,2021-10-19,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,67.97,74.11
FR,FRA,France,2021-10-20,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,67.97,74.11
FR,FRA,France,2021-10-21,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,67.97,74.11
FR,FRA,France,2021-10-22,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,67.97,74.11
FR,FRA,France,2021-10-23,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,67.97,74.11
FR,FRA,France,2021-10-24,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,67.97,74.11
FR,FRA,France,2021-10-25,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,67.97,74.11
FR,FRA,France,2021-10-26,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,67.97,74.11
FR,FRA,France,2021-10-27,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,67.97,74.11
FR,FRA,France,2021-10-28,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,67.97,74.11
FR,FRA,France,2021-10-29,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,67.97,74.11
FR,FRA,France,2021-10-30,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,67.97,74.11
FR,FRA,France,2021-10-31,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,67.97,74.11
FR,FRA,France,2021-11-01,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,67.97,74.11
FR,FRA,France,2021-11-02,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,67.97,74.11
FR,FRA,France,2021-11-03,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,67.97,74.11
FR,FRA,France,2021-11-04,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,67.97,74.11
FR,FRA,France,2021-11-05,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,67.97,74.11
FR,FRA,France,2021-11-06,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,67.97,74.11
FR,FRA,France,2021-11-07,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,67.97,74.11
FR,FRA,France,2021-11-08,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,67.97,74.11
FR,FRA,France,2021-11-09,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,67.97,74.11
FR,FRA,France,2021-11-10,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,67.97,74.11
FR,FRA,France,2021-11-11,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,67.97,74.11
FR,FRA,France,2021-11-12,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,67.97,74.11
FR,FRA,France,2021-11-13,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,67.97,74.11
FR,FRA,France,2021-11-14,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,67.97,74.11
FR,FRA,France,2021-11-15,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,68.75,75.0
FR,FRA,France,2021-11-16,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,68.75,75.0
FR,FRA,France,2021-11-17,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,68.75,75.0
FR,FRA,France,2021-11-18,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,68.75,75.0
FR,FRA,France,2021-11-19,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,68.75,75.0
FR,FRA,France,2021-11-20,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,68.75,75.0
FR,FRA,France,2021-11-21,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,68.75,75.0
FR,FRA,France,2021-11-22,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,68.75,75.0
FR,FRA,France,2021-11-23,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,68.75,75.0
FR,FRA,France,2021-11-24,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,68.75,75.0
FR,FRA,France,2021-11-25,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,68.75,75.0
FR,FRA,France,2021-11-26,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,68.75,75.0
FR,FRA,France,2021-11-27,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,68.75,75.0
FR,FRA,France,2021-11-28,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,68.75,75.0
FR,FRA,France,2021-11-29,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,68.75,75.0
FR,FRA,France,2021-11-30,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,68.75,75.0
FR,FRA,France,2021-12-01,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,68.75,75.0
FR,FRA,France,2021-12-02,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,68.75,75.0
FR,FRA,France,2021-12-03,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,68.75,75.0
FR,FRA,France,2021-12-04,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,70.31,76.79
FR,FRA,France,2021-12-05,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,70.31,76.79
FR,FRA,France,2021-12-06,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,70.31,76.79
FR,FRA,France,2021-12-07,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,70.31,76.79
FR,FRA,France,2021-12-08,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,70.31,76.79
FR,FRA,France,2021-12-09,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,70.31,76.79
FR,FRA,France,2021-12-10,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,70.31,76.79
FR,FRA,France,2021-12-11,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,70.31,76.79
FR,FRA,France,2021-12-12,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,70.31,76.79
FR,FRA,France,2021-12-13,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,70.31,76.79
FR,FRA,France,2021-12-14,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,70.31,76.79
FR,FRA,France,2021-12-15,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,70.31,76.79
FR,FRA,France,2021-12-16,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,70.31,76.79
FR,FRA,France,2021-12-17,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,70.31,76.79
FR,FRA,France,2021-12-18,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,70.31,76.79
FR,FRA,France,2021-12-19,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,70.31,76.79
FR,FRA,France,2021-12-20,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,70.31,76.79
FR,FRA,France,2021-12-21,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,70.31,76.79
FR,FRA,France,2021-12-22,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,70.31,76.79
FR,FRA,France,2021-12-23,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,70.31,76.79
FR,FRA,France,2021-12-24,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,70.31,76.79
FR,FRA,France,2021-12-25,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,70.31,76.79
FR,FRA,France,2021-12-26,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,70.31,76.79
FR,FRA,France,2021-12-27,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,70.31,76.79
FR,FRA,France,2021-12-28,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,70.31,76.79
FR,FRA,France,2021-12-29,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,70.31,76.79
FR,FRA,France,2021-12-30,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,70.31,76.79
FR,FRA,France,2021-12-31,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,70.31,76.79
FR,FRA,France,2022-01-01,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,70.31,76.79
FR,FRA,France,2022-01-02,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,70.31,76.79
FR,FRA,France,2022-01-03,1.0,2.0,2.0,1.0,2.0,0.0,2.0,3.0,66.67,67.19,73.21
FR,FRA,France,2022-01-04,1.0,2.0,2.0,1.0,2.0,0.0,2.0,3.0,66.67,67.19,73.21
FR,FRA,France,2022-01-05,1.0,2.0,2.0,1.0,2.0,0.0,2.0,3.0,66.67,67.19,73.21
FR,FRA,France,2022-01-06,1.0,2.0,2.0,1.0,2.0,0.0,2.0,3.0,66.67,67.19,73.21
FR,FRA,France,2022-01-07,1.0,2.0,2.0,1.0,2.0,0.0,2.0,3.0,66.67,67.19,73.21
FR,FRA,France,2022-01-08,1.0,2.0,2.0,1.0,2.0,0.0,2.0,3.0,66.67,67.19,73.21
FR,FRA,France,2022-01-09,1.0,2.0,2.0,1.0,2.0,0.0,2.0,3.0,66.67,67.19,73.21
FR,FRA,France,2022-01-10,1.0,2.0,2.0,1.0,2.0,0.0,2.0,3.0,66.67,67.19,73.21
FR,FRA,France,2022-01-11,1.0,2.0,2.0,1.0,2.0,0.0,2.0,3.0,66.67,67.19,73.21
FR,FRA,France,2022-01-12,1.0,2.0,2.0,1.0,2.0,0.0,2.0,3.0,66.67,67.19,73.21
FR,FRA,France,2022-01-13,1.0,2.0,2.0,1.0,2.0,0.0,2.0,3.0,66.67,67.19,73.21
FR,FRA,France,2022-01-14,1.0,2.0,2.0,1.0,2.0,0.0,2.0,3.0,66.67,67.19,73.21
FR,FRA,France,2022-01-15,1.0,2.0,2.0,1.0,2.0,0.0,2.0,3.0,66.67,67.19,73.21
FR,FRA,France,2022-01-16,1.0,2.0,2.0,1.0,2.0,0.0,2.0,3.0,66.67,67.19,73.21
FR,FRA,France,2022-01-17,1.0,2.0,2.0,1.0,2.0,0.0,2.0,3.0,66.67,67.19,73.21
FR,FRA,France,2022-01-18,1.0,2.0,2.0,1.0,2.0,0.0,2.0,3.0,66.67,67.19,73.21
FR,FRA,France,2022-01-19,1.0,2.0,2.0,1.0,2.0,0.0,2.0,3.0,66.67,67.19,73.21
FR,FRA,France,2022-01-20,1.0,2.0,2.0,1.0,2.0,0.0,2.0,3.0,66.67,67.19,73.21
FR,FRA,France,2022-01-21,1.0,2.0,2.0,1.0,2.0,0.0,2.0,3.0,66.67,67.19,73.21
FR,FRA,France,2022-01-22,1.0,2.0,2.0,1.0,2.0,0.0,2.0,3.0,66.67,67.19,73.21
FR,FRA,France,2022-01-23,1.0,2.0,2.0,1.0,2.0,0.0,2.0,3.0,66.67,67.19,73.21
FR,FRA,France,2022-01-24,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,72.22,70.31,76.79
